# Rime user dictionary
#@/db_name	luna_pinyin.userdb
#@/db_type	userdb
#@/rime_version	1.5.3
#@/tick	2227
#@/user_id	c286c5d4-02d2-4839-a588-e8f68a470b72
a 	啊	c=2 d=0.440935 t=2227
dao tou 	到頭	c=1 d=0.0322254 t=2227
de 	的	c=218 d=25.5064 t=2227
de bing 	得病	c=1 d=0.927743 t=2227
deng 	燈	c=4 d=1.09599 t=2227
di 	第	c=2 d=0.21467 t=2227
di fang 	地方	c=2 d=0.0105329 t=2227
di kang 	抵抗	c=2 d=0.285978 t=2227
di qiu 	地球	c=1 d=0.0434998 t=2227
di yi ge 	第一個	c=2 d=0.0334183 t=2227
dian dao 	顛倒	c=2 d=0.0183172 t=2227
dian ji 	點擊	c=1 d=0.0934807 t=2227
dian nao 	電腦	c=1 d=0.15259 t=2227
dian qi 	電器	c=2 d=0.00428841 t=2227
dian ti 	電梯	c=2 d=0.0498194 t=2227
dian ying 	電影	c=3 d=0.355994 t=2227
diao 	吊	c=1 d=0.228779 t=2227
diao cha 	調查	c=1 d=0.075774 t=2227
die 	蝶	c=1 d=0.357007 t=2227
ding 	定	c=6 d=0.0262688 t=2227
ding wei 	定位	c=1 d=0.0212797 t=2227
ding yu 	定語	c=5 d=0.0259499 t=2227
dong ci 	動詞	c=3 d=0.0334081 t=2227
dong de 	懂得	c=1 d=0.0488012 t=2227
dong wu 	動物	c=1 d=0.00290884 t=2227
dong xi 	東西	c=4 d=1.68988 t=2227
dong zuo 	動作	c=1 d=0.0135686 t=2227
dou 	都	c=4 d=0.562975 t=2227
dou hao 	逗號	c=2 d=0.0109465 t=2227
dou liu 	逗留	c=1 d=0.17552 t=2227
dou qiao 	陡峭	c=2 d=0.0620804 t=2227
dou shi 	都是	c=2 d=0.157237 t=2227
dou yi yang 	都一樣	c=1 d=0.0898153 t=2227
du 	度	c=1 d=0.0407622 t=2227
du li 	獨立	c=4 d=0.0711797 t=2227
du li xing 	獨立性	c=2 d=0.0358299 t=2227
duan bi 	斷壁	c=1 d=0.822835 t=2227
duan yu 	短語	c=2 d=0.0252616 t=2227
dui 	對	c=6 d=0.118729 t=2227
dui 	隊	c=2 d=0.428768 t=2227
dui fang 	對方	c=1 d=0.790571 t=2227
dui kai 	對開	c=0 d=0.1 t=2214
dui kai ben 	對開本	c=2 d=1.97531 t=2220
dui qie 	對切	c=1 d=0.0037164 t=2227
dui wo 	對我	c=1 d=0.00941925 t=2227
dui xiang 	對象	c=1 d=0.307279 t=2227
dui zhe ge 	對這個	c=1 d=0.0507928 t=2227
duo 	多	c=2 d=1.31788 t=2227
duo chong 	多重	c=1 d=0.666977 t=2227
duo gong neng 	多功能	c=1 d=0.647265 t=2227
duo shu 	多數	c=1 d=0.0192547 t=2227
duo yang 	多樣	c=2 d=1.31411 t=2227
e 	額	c=1 d=0.10383 t=2227
e x p e d i t i o n 	expedition	c=1 d=0.203926 t=2227
ei 	誒	c=1 d=0.00133343 t=2227
er 	兒	c=1 d=0.00134011 t=2227
er bian 	耳邊	c=1 d=0.00196945 t=2227
er zi 	兒子	c=1 d=0.00134683 t=2227
fa 	法	c=1 d=0.0337087 t=2227
fa chu 	發出	c=1 d=0.219808 t=2227
fa dong 	發動	c=1 d=0.0026852 t=2227
